"variable","mean","site","pft","model"
"treat_size[None]",0.852840475909061,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn]",0.894189878061157,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn+Thin]",0.678655427759467,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Thin]",0.281413587468168,"STEF-VDT15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[None]",0.749758115588021,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn]",0.470756422686803,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn+Thin]",0.439162063194671,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Thin]",0.57406377988628,"STEF-VDT15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[None]",0.43434495204373,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn]",0.308842869609536,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn+Thin]",0.138433891995314,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_size[Thin]",0.10031265090079,"Teakettle15","cedar","ddbh_model_noBAcwdIrctnSize"
"treat_size[None]",0.222385797630948,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn]",0.187857596933372,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn+Thin]",0.0610328866093752,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_size[Thin]",0.040376028796596,"Teakettle15","fir","ddbh_model_noBAcwdIrctnSize"
"treat_size[None]",0.259102492598638,"Teakettle15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn]",0.0285141620667202,"Teakettle15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn+Thin]",-0.0283885185965573,"Teakettle15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Thin]",0.0577046867449182,"Teakettle15","yellow_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[None]",0.73740993146015,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn]",0.507539631622063,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Burn+Thin]",0.320790229914824,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[Thin]",0.302849862257351,"Teakettle15","white_pine","ddbh_model_noBAcwdIrctnSize"
"treat_size[None]",0.161004904786222,"Sequoia_Tharp15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_size[Burn]",0.148169861823626,"Sequoia_Tharp15","white_pine","ddbh_model_noBAcwdIrctnSizePlotPrior"
"treat_size[None]",0.564087625798558,"UPFUb","fir","ddbh_model_noBAcwdIrctnSizeTreePrior"
"treat_size[Thin]",0.218984846933049,"UPFUb","fir","ddbh_model_noBAcwdIrctnSizeTreePrior"
