PlotID,Latitude,Longitude,Site,UnitID,geometry
30,39.1497751517591,-120.18664080451072,UPFUb,WRD 20-9 C,
31,39.14996232849124,-120.18581187029936,UPFUb,WRD 20-9 C,
62,39.14903427312642,-120.18692486374256,UPFUb,WRD 20-9 C,
66,39.14931363772017,-120.18804759135176,UPFUb,WRD 20-9 C,
18,39.1477439754105,-120.18274175319792,UPFUb,WRD 20-9 T,
19,39.14741454803647,-120.18327553142774,UPFUb,WRD 20-9 T,
20,39.14648506124569,-120.18283825871744,UPFUb,WRD 20-9 T,
21,39.14652995399038,-120.18357691652564,UPFUb,WRD 20-9 T,
22,39.14594398126478,-120.1824433461548,UPFUb,WRD 20-9 T,
23,39.14581309294391,-120.18112965789796,UPFUb,WRD 20-9 T,
24,39.146285481913,-120.1820363580173,UPFUb,WRD 20-9 T,
60,39.14737842494109,-120.18215471622432,UPFUb,WRD 20-9 T,
61,39.147276302255,-120.18426446524695,UPFUb,WRD 20-9 T,
1,40.6649,-121.742,LaTour,1,POINT (-121.742 40.6649)
2,40.661116666666665,-121.7418,LaTour,2,POINT (-121.7418 40.661116666666665)
3,40.6578,-121.74175,LaTour,3,POINT (-121.74175 40.6578)
4,40.654316666666666,-121.74238333333334,LaTour,4,POINT (-121.74238333333334 40.654316666666666)
5,40.65091666666667,-121.74231666666668,LaTour,5,POINT (-121.74231666666668 40.65091666666667)
6,40.6462,-121.74245,LaTour,6,POINT (-121.74245 40.6462)
7,40.644016666666666,-121.74205,LaTour,7,POINT (-121.74205 40.644016666666666)
8,40.64046666666667,-121.7418,LaTour,8,POINT (-121.7418 40.64046666666667)
9,40.63678333333333,-121.74171666666666,LaTour,9,POINT (-121.74171666666666 40.63678333333333)
10,40.63313333333333,-121.74188333333332,LaTour,10,POINT (-121.74188333333332 40.63313333333333)
11,40.62988333333333,-121.74195,LaTour,11,POINT (-121.74195 40.62988333333333)
12,40.61878333333333,-121.74148333333332,LaTour,12,POINT (-121.74148333333332 40.61878333333333)
14,40.612,-121.74241666666668,LaTour,14,POINT (-121.74241666666668 40.612)
15,40.608266666666665,-121.74225,LaTour,15,POINT (-121.74225 40.608266666666665)
16,40.604533333333336,-121.74138333333332,LaTour,16,POINT (-121.74138333333332 40.604533333333336)
17,40.60431666666667,-121.73663333333332,LaTour,17,POINT (-121.73663333333332 40.60431666666667)
18,40.608266666666665,-121.73778333333334,LaTour,18,POINT (-121.73778333333334 40.608266666666665)
19,40.61195,-121.73766666666668,LaTour,19,POINT (-121.73766666666668 40.61195)
21,40.61963333333333,-121.73776666666669,LaTour,21,POINT (-121.73776666666669 40.61963333333333)
22,40.629866666666665,-121.73748333333332,LaTour,22,POINT (-121.73748333333332 40.629866666666665)
23,40.63355,-121.73741666666666,LaTour,23,POINT (-121.73741666666666 40.63355)
24,40.63691666666666,-121.73731666666669,LaTour,24,POINT (-121.73731666666669 40.63691666666666)
25,40.64,-121.73736666666667,LaTour,25,POINT (-121.73736666666667 40.64)
26,40.64365,-121.73756666666668,LaTour,26,POINT (-121.73756666666668 40.64365)
27,40.64748333333333,-121.7376,LaTour,27,POINT (-121.7376 40.64748333333333)
28,40.650733333333335,-121.73715,LaTour,28,POINT (-121.73715 40.650733333333335)
29,40.6543,-121.73735,LaTour,29,POINT (-121.73735 40.6543)
30,40.6579,-121.73701666666666,LaTour,30,POINT (-121.73701666666666 40.6579)
31,40.66105,-121.73708333333332,LaTour,31,POINT (-121.73708333333332 40.66105)
32,40.664633333333335,-121.73676666666668,LaTour,32,POINT (-121.73676666666668 40.664633333333335)
33,40.65078333333334,-121.73283333333332,LaTour,33,POINT (-121.73283333333332 40.65078333333334)
34,40.6472,-121.73278333333332,LaTour,34,POINT (-121.73278333333332 40.6472)
35,40.6437,-121.73283333333332,LaTour,35,POINT (-121.73283333333332 40.6437)
36,40.64015,-121.73335,LaTour,36,POINT (-121.73335 40.64015)
37,40.63681666666667,-121.73275,LaTour,37,POINT (-121.73275 40.63681666666667)
38,40.63356666666667,-121.73276666666666,LaTour,38,POINT (-121.73276666666666 40.63356666666667)
39,40.6296,-121.7324,LaTour,39,POINT (-121.7324 40.6296)
