"TreeID","start_year","end_year","PlotID","n_obs","PFT"
"FFS6BURN_4606",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4608",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4621",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4624",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4625",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4631",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4718",1,16,"FFS6BURN",4,"yellow_pine"
"FFS6BURN_4723",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4726",1,2,"FFS6BURN",2,"fir"
"FFS6BURN_4729",1,16,"FFS6BURN",4,"cedar"
"FFS6BURN_4730",1,2,"FFS6BURN",2,"fir"
"FFS6BURN_4733",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_4734",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_4735",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_4737",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4738",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_4739",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4743",6,16,"FFS6BURN",3,"fir"
"FFS6BURN_4745",1,2,"FFS6BURN",2,"fir"
"FFS6BURN_4746",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4747",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4749",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4750",1,11,"FFS6BURN",3,"fir"
"FFS6BURN_4753",1,8,"FFS6BURN",3,"fir"
"FFS6BURN_4754",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4755",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4757",1,14,"FFS6BURN",4,"fir"
"FFS6BURN_4758",1,15,"FFS6BURN",4,"fir"
"FFS6BURN_4761",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4770",1,14,"FFS6BURN",4,"fir"
"FFS6BURN_4772",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4774",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4775",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4800",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_4902",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_4904",1,2,"FFS6BURN",2,"fir"
"FFS6BURN_5605",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_5610",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_5611",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_5614",6,16,"FFS6BURN",3,"deciduous_oak"
"FFS6BURN_5617",1,16,"FFS6BURN",4,"cedar"
"FFS6BURN_5623",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_5625",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_5633",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_5634",1,16,"FFS6BURN",4,"cedar"
"FFS6BURN_5637",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_5638",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_5640",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_5642",1,16,"FFS6BURN",4,"fir"
"FFS6BURN_5647",1,16,"FFS6BURN",4,"white_pine"
"FFS6BURN_5648",1,11,"FFS6BURN",3,"fir"
"FFS6BURN_5654",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_5656",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_5657",1,10,"FFS6BURN",3,"deciduous_oak"
"FFS6BURN_5658",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_5659",1,2,"FFS6BURN",2,"deciduous_oak"
"FFS6BURN_5660",1,7,"FFS6BURN",3,"deciduous_oak"
"FFS6BURN_5661",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_5662",1,16,"FFS6BURN",4,"deciduous_oak"
"FFS6BURN_5663",1,12,"FFS6BURN",4,"fir"
"FFS6BURN_5664",1,13,"FFS6BURN",4,"fir"
"FFS6BURN_5665",1,16,"FFS6BURN",4,"cedar"
